year,fips,county,state,urban,copd_apc,copd_edv,copd_hos,copd_pre,copd_pqi,asth_pre,toba_pre,apc_percent_diff
2012,1001,Autauga County,ALABAMA,1,1724,607,11,12,1739,4,8,-0.00818713450292
2012,1003,Baldwin County,ALABAMA,0,1384,518,6,10,1007,4,7,-0.122465531225
2012,1005,Barbour County,ALABAMA,0,1515,827,8,10,1585,6,8,0.0429564118762
2012,1007,Bibb County,ALABAMA,1,1061,648,6,13,1283,5,10,0.339352428394
2012,1009,Blount County,ALABAMA,1,1810,632,8,14,1861,5,10,-0.326007326007
2012,1011,Bullock County,ALABAMA,0,1024,662,8,10,878,4,6,0.300546448087
2012,1013,Butler County,ALABAMA,0,1734,917,6,15,3381,5,8,-0.0408163265306
2012,1015,Calhoun County,ALABAMA,1,1552,737,11,15,1951,5,11,0.041383570105
2012,1017,Chambers County,ALABAMA,0,928,682,8,14,1504,4,9,0.130271790066
2012,1019,Cherokee County,ALABAMA,0,1381,689,10,16,1786,5,11,0.169073405535
2012,1021,Chilton County,ALABAMA,1,1537,656,6,13,1453,5,9,0.09375
2012,1023,Choctaw County,ALABAMA,0,2348,765,7,10,1027,3,8,-0.0449488206498
2012,1025,Clarke County,ALABAMA,0,2203,702,5,10,1925,3,4,-0.24252679075
2012,1027,Clay County,ALABAMA,0,1297,638,5,17,3946,4,9,-0.0719008264463
2012,1029,Cleburne County,ALABAMA,0,1467,667,11,18,1821,4,11,0.28334147533
2012,1031,Coffee County,ALABAMA,0,1338,814,6,13,1777,6,9,-0.0635930047695
2012,1033,Colbert County,ALABAMA,1,1410,820,6,15,1857,5,11,-0.00786275911365
2012,1035,Conecuh County,ALABAMA,0,2524,979,6,18,7636,5,6,-0.0916955017301
2012,1037,Coosa County,ALABAMA,0,2084,771,8,13,1835,4,9,0.130942452043
2012,1039,Covington County,ALABAMA,0,1457,847,7,17,3243,5,9,-0.0217391304348
2012,1041,Crenshaw County,ALABAMA,0,1973,682,8,15,3493,4,8,-0.110298255487
2012,1043,Cullman County,ALABAMA,0,1582,663,6,14,1106,4,9,-0.0435356200528
2012,1045,Dale County,ALABAMA,0,1535,816,10,14,1779,5,9,-0.266501650165
2012,1047,Dallas County,ALABAMA,0,1815,775,16,11,1195,5,9,-0.131546134663
2012,1049,DeKalb County,ALABAMA,0,1874,670,8,15,2071,4,9,-0.0690245293782
2012,1051,Elmore County,ALABAMA,1,1542,632,7,13,1098,3,6,-0.150746268657
2012,1053,Escambia County,ALABAMA,0,1633,867,9,13,2477,5,10,0.0721590909091
2012,1055,Etowah County,ALABAMA,1,1786,667,13,17,1877,5,9,-0.00846979107849
2012,1057,Fayette County,ALABAMA,0,1426,840,9,17,2989,5,12,-0.00706214689266
2012,1059,Franklin County,ALABAMA,0,1927,760,8,18,3007,3,11,-0.0438786565547
2012,1061,Geneva County,ALABAMA,1,1497,795,10,14,2362,6,9,0.10144057623
2012,1063,Greene County,ALABAMA,1,2837,1040,11,13,5431,8,8,0.018339100346
2012,1065,Hale County,ALABAMA,1,1103,824,11,10,1520,5,9,0.17931547619
2012,1067,Henry County,ALABAMA,1,1314,597,10,10,1617,6,7,0.131526768011
2012,1069,Houston County,ALABAMA,1,1485,737,9,11,1859,6,9,0.0571428571429
2012,1071,Jackson County,ALABAMA,0,1738,658,8,15,2839,5,12,-0.0848938826467
2012,1073,Jefferson County,ALABAMA,1,1269,622,10,9,933,5,7,0.0162790697674
